icd9code,long_description,short_description
861.20,Unspecified injury of lung without mention of open wound into thorax,Lung injury NOS-closed
861.21,Contusion of lung without mention of open wound into thorax,Lung contusion-closed
861.22,Laceration of lung without mention of open wound into thorax,Lung laceration-closed
861.30,Unspecified injury of lung with open wound into thorax,Lung injury NOS-open
861.31,Contusion of lung with open wound into thorax,Lung contusion-open
861.32,Laceration of lung with open wound into thorax,Lung laceration-open
862.0,Injury to diaphragm - without mention of open wound into cavity,Diaphragm injury-closed
862.1,Injury to diaphragm - with open wound into cavity,Diaphragm injury-open
862.21,Injury to bronchus without mention of open wound into cavity,Bronchus injury-closed
862.22,Injury to esophagus without mention of open wound into cavity,Esophagus injury-closed
862.29,Injury to other specified intrathoracic organs without mention of open wound into cavity,Intrathoracic inj NEC-cl
862.31,Injury to bronchus with open wound into cavity,Bronchus injury-open
862.32,Injury to esophagus with open wound into cavity,Esophagus injury-open
862.39,Injury to other specified intrathoracic organs with open wound into cavity,Intrathorac inj NEC-open
862.8,Injury to multiple and unspecified intrathoracic organs - without mention of open wound into cavity,Intrathoracic inj NOS-cl
862.9,Injury to multiple and unspecified intrathoracic organs - with open wound into cavity,Intrathorac inj NOS-open
863.0,Injury to stomach - without mention of open wound into cavity,Stomach injury-closed
863.1,Injury to stomach - with open wound into cavity,Stomach injury-open
863.20,Injury to small intestine - unspecified site - without open wound into cavity,Small intest inj NOS-cl
863.21,Injury to duodenum - without open wound into cavity,Duodenum injury-closed
863.29,Other injury to small intestine - without mention of open wound into cavity,Small intest inj NEC-cl
863.30,Injury to small intestine - unspecified site - with open wound into cavity,Small intest inj NOS-opn
863.31,Injury to duodenum - with open wound into cavity,Duodenum injury-open
863.39,Other injury to small intestine - with open wound into cavity,Small intest inj NEC-opn
863.40,Injury to colon - unspecified site - without mention of open wound into cavity,Colon injury NOS-closed
863.41,Injury to ascending [right] colon - without mention of open wound into cavity,Ascending colon inj-clos
863.42,Injury to transverse colon - without mention of open wound into cavity,Transverse colon inj-cl
863.43,Injury to descending [left] colon - without mention of open wound into cavity,Descending colon inj-cl
863.44,Injury to sigmoid colon - without mention of open wound into cavity,Sigmoid colon inj-closed
863.45,Injury to rectum - without mention of open wound into cavity,Rectum injury-closed
863.46,Injury to multiple sites in colon and rectum - without mention of open wound into cavity,Colon inj mult site-clos
863.49,Other injury to colon or rectum - without mention of open wound into cavity,Colon injury NEC-closed
863.50,Injury to colon - unspecified site - with open wound into cavity,Colon injury NOS-open
863.51,Injury to ascending [right] colon - with open wound into cavity,Ascending colon inj-open
863.52,Injury to transverse colon - with open wound into cavity,Transverse colon inj-opn
863.53,Injury to descending [left] colon - with open wound into cavity,Descending colon inj-opn
863.54,Injury to sigmoid colon - with open wound into cavity,Sigmoid colon inj-open
863.55,Injury to rectum - with open wound into cavity,Rectum injury-open
863.56,Injury to multiple sites in colon and rectum - with open wound into cavity,Colon inj mult site-open
863.59,Other injury to colon or rectum - with open wound into cavity,Colon injury NEC-open
863.80,Injury to gastrointestinal tract - unspecified site - without mention of open wound into cavity,GI injury NOS-closed
863.81,Injury to pancreas - head - without mention of open wound into cavity,Pancreas - head inj-close
863.82,Injury to pancreas - body - without mention of open wound into cavity,Pancreas - body inj-close
863.83,Injury to pancreas - tail - without mention of open wound into cavity,Pancreas - tail inj-close
863.84,Injury to pancreas - multiple and unspecified sites - without mention of open wound into cavity,Pancreas injury NOS-clos
863.85,Injury to appendix - without mention of open wound into cavity,Appendix injury-closed
863.89,Injury to other gastrointestinal sites - without mention of open wound into cavity,GI injury NEC-closed
863.90,Injury to gastrointestinal tract - unspecified site - with open wound into cavity,GI injury NOS-open
863.91,Injury to pancreas - head - with open wound into cavity,Pancreas - head inj-open
863.92,Injury to pancreas - body - with open wound into cavity,Pancreas - body inj-open
863.93,Injury to pancreas - tail - with open wound into cavity,Pancreas - tail inj-open
863.94,Injury to pancreas - multiple and unspecified sites - with open wound into cavity,Pancreas injury NOS-open
863.95,Injury to appendix - with open wound into cavity,Appendix injury-open
863.99,Injury to other gastrointestinal sites - with open wound into cavity,GI injury NEC-open
864.00,Injury to liver without mention of open wound into cavity - unspecified injury,Liver injury NOS-closed
864.01,Injury to liver without mention of open wound into cavity - hematoma and contusion,Liver hematoma/contusion
864.02,Injury to liver without mention of open wound into cavity - laceration - minor,Liver laceration - minor
864.03,Injury to liver without mention of open wound into cavity - laceration - moderate,Liver laceration - mod
864.04,Injury to liver without mention of open wound into cavity - laceration - major,Liver laceration - major
864.05,Injury to liver without mention of open wound into cavity laceration - unspecified,Liver lacerat unspcf cls
864.09,Other injury to liver without mention of open wound into cavity,Liver injury NEC-closed
864.10,Injury to liver with open wound into cavity - unspecified injury,Liver injury NOS-open
864.11,Injury to liver with open wound into cavity - hematoma and contusion,Liver hematom/contus-opn
864.12,Injury to liver with open wound into cavity - laceration - minor,Liver lacerat - minor-opn
864.13,Injury to liver with open wound into cavity - laceration - moderate,Liver lacerat - mod-open
864.14,Injury to liver with open wound into cavity - laceration - major,Liver lacerat - major-opn
864.15,Injury to liver without mention of open wound into cavity laceration - unspecified,Liver lacerat unspcf opn
864.19,Other injury to liver with open wound into cavity,Liver injury NEC-open
865.00,Injury to spleen without mention of open wound into cavity - unspecified injury,Spleen injury NOS-closed
865.01,Injury to spleen without mention of open wound into cavity - hematoma without rupture of capsule,Spleen hematoma-closed
865.02,Injury to spleen without mention of open wound into cavity - capsular tears - without major disruption of parenchyma,Spleen capsular tear
865.03,Injury to spleen without mention of open wound into cavity - laceration extending into parenchyma,Spleen parenchyma lacer
865.04,Injury to spleen without mention of open wound into cavity - massive parenchymal disruption,Spleen disruption-clos
865.09,Other injury into spleen without mention of open wound into cavity,Spleen injury NEC-closed
865.10,Injury to spleen with open wound into cavity - unspecified injury,Spleen injury NOS-open
865.11,Injury to spleen with open wound into cavity - hematoma without rupture of capsule,Spleen hematoma-open
865.12,Injury to spleen with open wound into cavity - capsular tears - without major disruption of parenchyma,Spleen capsular tear-opn
865.13,Injury to spleen with open wound into cavity - laceration extending into parenchyma,Spleen parnchym lac-opn
865.14,Injury to spleen with open wound into cavity - massive parenchyma disruption,Spleen disruption-open
865.19,Other injury to spleen with open wound into cavity,Spleen injury NEC-open
866.00,Injury to kidney without mention of open wound into cavity - unspecified injury,Kidney injury NOS-closed
866.01,Injury to kidney without mention of open wound into cavity - hematoma without rupture of capsule,Kidney hematoma-closed
866.02,Injury to kidney without mention of open wound into cavity - laceration,Kidney laceration-closed
866.03,Injury to kidney without mention of open wound into cavity - complete disruption of kidney parenchyma,Kidney disruption-closed
866.10,Injury to kidney with open wound into cavity - unspecified injury,Kidney injury NOS-open
866.11,Injury to kidney with open wound into cavity - hematoma without rupture of capsule,Kidney hematoma-open
866.12,Injury to kidney with open wound into cavity - laceration,Kidney laceration-open
866.13,Injury to kidney with open wound into cavity - complete disruption of kidney parenchyma,Kidney disruption-open
867.0,Injury to bladder and urethra - without mention of open wound into cavity,Bladder/urethra inj-clos
867.1,Injury to bladder and urethra - with open wound into cavity,Bladder/urethra inj-open
867.2,Injury to ureter - without mention of open wound into cavity,Ureter injury-closed
867.3,Injury to ureter - with open wound into cavity,Ureter injury-open
867.4,Injury to uterus - without mention of open wound into cavity,Uterus injury-closed
867.5,Injury to uterus - with open wound into cavity,Uterus injury-open
867.6,Injury to other specified pelvic organs - without mention of open wound into cavity,Pelvic organ inj NEC-cl
867.7,Injury to other specified pelvic organs - with open wound into cavity,Pelvic organ inj NEC-opn
867.8,Injury to unspecified pelvic organ - without mention of open wound into cavity,Pelvic organ inj NOS-cl
867.9,Injury to unspecified pelvic organ - with open wound into cavity,Pelvic organ inj NOS-opn
868.00,Injury to other intra-abdominal organs without mention of open wound into cavity - unspecified intra-abdominal organ,Intra-abdom inj NOS-clos
868.01,Injury to other intra-abdominal organs without mention of open wound into cavity - adrenal gland,Adrenal gland injury-cl
868.02,Injury to other intra-abdominal organs without mention of open wound into cavity - bile duct and gallbladder,Biliary tract injury-cl
868.03,Injury to other intra-abdominal organs without mention of open wound into cavity - peritoneum,Peritoneum injury-closed
868.04,Injury to other intra-abdominal organs without mention of open wound into cavity - retroperitoneum,Retroperitoneum inj-cl
868.09,Injury to other and multiple intra-abdominal organs without mention of open wound into cavity,Intra-abdom inj NEC-clos
868.10,Injury to other intra-abdominal organs with open wound into cavity - unspecified intra-abdominal organ,Intra-abdom inj NOS-open
868.11,Injury to other intra-abdominal organs with open wound into cavity - adrenal gland,Adrenal gland injury-opn
868.12,Injury to other intra-abdominal organs with open wound into cavity - bile duct and gallbladder,Biliary tract injury-opn
868.13,Injury to other intra-abdominal organs with open wound into cavity - peritoneum,Peritoneum injury-open
868.14,Injury to other intra-abdominal organs with open wound into cavity - retroperitoneum,Retroperitoneum inj-open
868.19,Injury to other and multiple intra-abdominal organs - with open wound into cavity,Intra-abdom inj NEC-open
869.0,Internal injury to unspecified or ill-defined organs without mention of open wound into cavity,Internal inj NOS-closed
869.1,Internal injury to unspecified or ill-defined organs with open wound into cavity,Internal injury NOS-open
870.0,Laceration of skin of eyelid and periocular area,Lac eyelid skn/perioculr
870.1,Laceration of eyelid - full-thickness - not involving lacrimal passages,Full-thicknes lac eyelid
870.2,Laceration of eyelid involving lacrimal passages,Lac eyelid inv lacrm pas
870.3,Penetrating wound of orbit - without mention of foreign body,Penetr wnd orbit w/o FB
870.4,Penetrating wound of orbit with foreign body,Penetrat wnd orbit w FB
870.8,Other specified open wounds of ocular adnexa,Opn wnd ocular adnex NEC
870.9,Unspecified open wound of ocular adnexa,Opn wnd ocular adnex NOS
871.0,Ocular laceration without prolapse of intraocular tissue,Ocular lac w/o prolapse
871.1,Ocular laceration with prolapse or exposure of intraocular tissue,Ocular lacera w prolapse
871.2,Rupture of eye with partial loss of intraocular tissue,Rupture eye w tissu loss
871.3,Avulsion of eye,Avulsion of eye
871.4,Unspecified laceration of eye,Laceration of eye NOS
871.5,Penetration of eyeball with magnetic foreign body,Penetrat magnet FB eye
871.6,Penetration of eyeball with (nonmagnetic) foreign body,Penetrat FB NEC eye
871.7,Unspecified ocular penetration,Ocular penetration NOS
871.9,Unspecified open wound of eyeball,Opn wound of eyeball NOS
872.00,Open wound of external ear - unspecified site - without mention of complication,Opn wound extern ear NOS
872.01,Open wound of auricle - ear - without mention of complication,Open wound of auricle
872.02,Open wound of auditory canal - without mention of complication,Opn wound auditory canal
872.10,Open wound of external ear - unspecified site - complicated,Opn wnd ex ear NOS-compl
872.11,Open wound of auricle - ear - complicated,Open wound auricle-compl
872.12,Open wound of auditory canal - complicated,Open wnd aud canal-compl
872.61,Open wound of ear drum - without mention of complication,Open wound of ear drum
872.62,Open wound of ossicles - without mention of complication,Open wound of ossicles
872.63,Open wound of eustachian tube - without mention of complication,Open wnd eustachian tube
872.64,Open wound of cochlea - without mention of complication,Open wound of cochlea
872.69,Open wound of other and multiple sitesof ear - without mention of complication,Open wound of ear NEC
872.71,Open wound of ear drum - complicated,Open wnd ear drum-compl
872.72,Open wound of ossicles - complicated,Open wnd ossicles-compl
872.73,Open wound of eustachian tube - complicated,Opn wnd eustach tb-compl
872.74,Open wound of cochlea - complicated,Open wound cochlea-compl
872.79,Open wound of other and multiple sites of ear - complicated,Open wound ear NEC-compl
872.8,Open wound of ear - part unspecified - without mention of complication,Open wound of ear NOS
872.9,Open wound of ear - part unspecified - complicated,Open wound ear NOS-compl
873.0,Open wound of scalp - without mention of complication,Open wound of scalp
873.1,Open wound of scalp - complicated,Open wound scalp-compl
873.20,Open wound of nose - unspecified site - without mention of complication,Open wound of nose NOS
873.21,Open wound of nasal septum - without mention of complication,Open wound nasal septum
873.22,Open wound of nasal cavity - without mention of complication,Open wound nasal cavity
873.23,Open wound of nasal sinus - without mention of complication,Open wound nasal sinus
873.29,Open wound of multiple sites of nose - without mention of complication,Mult open wound nose
873.30,Open wound of nose - unspecified site - complicated,Open wnd nose NOS-compl
873.31,Open wound of nasal septum - complicated,Opn wnd nas septum-compl
873.32,Open wound of nasal cavity - complicated,Open wnd nasal cav-compl
873.33,Open wound of nasal sinus - complicated,Open wnd nas sinus-compl
873.39,Open wound of multiple sites of nose - complicated,Mult open wnd nose-compl
873.40,Open wound of face - unspecified site - without mention of complication,Open wound of face NOS
873.41,Open wound of cheek - without mention of complication,Open wound of cheek
873.42,Open wound of forehead - without mention of complication,Open wound of forehead
873.43,Open wound of lip - without mention of complication,Open wound of lip
873.44,Open wound of jaw - without mention of complication,Open wound of jaw
873.49,Open wound of other and multiple sites of face - without mention of complication,Open wound of face NEC
873.50,Open wound of face - unspecified site - complicated,Open wnd face NOS-compl
873.51,Open wound of cheek - complicated,Open wound cheek-compl
873.52,Open wound of forehead - complicated,Open wnd forehead-compl
873.53,Open wound of lip - complicated,Open wound lip-complicat
873.54,Open wound of jaw - complicated,Open wound jaw-complicat
873.59,Open wound of other and multiple sites of face - complicated,Open wnd face NEC-compl
873.60,Open wound of mouth - unspecified site - without mention of complication,Open wound of mouth NOS
873.61,Open wound of buccal mucosa - without mention of complication,Open wound buccal mucosa
873.62,Open wound of gum (alveolar process) - without mention of complication,Open wound of gum
873.63,Open wound of tooth (broken) (fractured) (due to trauma) - without mention of complication,Broken tooth-uncomplic
873.64,Open wound of tongue and floor of mouth - without mention of complication,Opn wnd tongue/mouth flr
873.65,Open wound of palate - without mention of complication,Open wound of palate
873.69,Open wound of other and multiple sites of mouth - without mention of complication,Open wound mouth NEC
873.70,Open wound of mouth - unspecified site - complicated,Open wnd mouth NOS-compl
873.71,Open wound of buccal mucosa - complicated,Opn wnd buc mucosa-compl
873.72,Open wound of gum (alveolar process) - complicated,Open wound gum-compl
873.73,Open wound of tooth (broken) (fractured) (due to trauma) - complicated,Broken tooth-complicated
873.74,Open wound of tongue and floor of mouth - complicated,Open wound tongue-compl
873.75,Open wound of palate - complicated,Open wound palate-compl
873.79,Open wound of other and multiple sites of mouth - complicated,Open wnd mouth NOS-compl
873.8,Other and unspecified open wound of head without mention of complication,Open wound of head NEC
873.9,Other and unspecified open wound of head - complicated,Open wnd head NEC-compl
874.00,Open wound of larynx with trachea - without mention of complication,Opn wnd larynx w trachea
874.01,Open wound of larynx - without mention of complication,Open wound of larynx
874.02,Open wound of trachea - without mention of complication,Open wound of trachea
874.10,Open wound of larynx with trachea - complicated,Opn wnd lary w trac-comp
874.11,Open wound of larynx - complicated,Open wound larynx-compl
874.12,Open wound of trachea - complicated,Open wound trachea-compl
874.2,Open wound of thyroid gland - without mention of complication,Open wound thyroid gland
874.3,Open wound of thyroid gland - complicated,Open wound thyroid-compl
874.4,Open wound of pharynx - without mention of complication,Open wound of pharynx
874.5,Open wound of pharynx - complicated,Open wound pharynx-compl
874.8,Open wound of other and unspecified parts of neck - without mention of complication,Open wound of neck NEC
874.9,Open wound of other and unspecified parts of neck - complicated,Opn wound neck NEC-compl
875.0,Open wound of chest (wall) - without mention of complication,Open wound of chest
875.1,Open wound of chest (wall) - complicated,Open wound chest-compl
876.0,Open wound of back - without mention of complication,Open wound of back
876.1,Open wound of back - complicated,Open wound back-compl
877.0,Open wound of buttock - without mention of complication,Open wound of buttock
877.1,Open wound of buttock - complicated,Open wound buttock-compl
878.0,Open wound of penis - without mention of complication,Open wound of penis
878.1,Open wound of penis - complicated,Open wound penis-compl
878.2,Open wound of scrotum and testes - without mention of complication,Opn wound scrotum/testes
878.3,Open wound of scrotum and testes - complicated,Opn wnd scrot/test-compl
878.4,Open wound of vulva - without mention of complication,Open wound of vulva
878.5,Open wound of vulva - complicated,Open wound vulva-compl
878.6,Open wound of vagina - without mention of complication,Open wound of vagina
878.7,Open wound of vagina - complicated,Open wound vagina-compl
878.8,Open wound of other and unspecified parts of genital organs (external) - without mention of complication,Open wound genital NEC
878.9,Open wound of other and unspecified parts of genital organs (external) - complicated,Opn wnd genital NEC-comp
879.0,Open wound of breast - without mention of complication,Open wound of breast
879.1,Open wound of breast - complicated,Open wound breast-compl
879.2,Open wound of abdominal wall - anterior - without mention of complication,Opn wnd anterior abdomen
879.3,Open wound of abdominal wall - anterior - complicated,Opn wnd ant abdomen-comp
879.4,Open wound of abdominal wall - lateral - without mention of complication,Opn wnd lateral abdomen
879.5,Open wound of abdominal wall - lateral - complicated,Opn wnd lat abdomen-comp
879.6,Open wound of other and unspecified parts of trunk - without mention of complication,Open wound of trunk NEC
879.7,Open wound of other and unspecified parts of trunk - complicated,Open wnd trunk NEC-compl
879.8,Open wound(s) (multiple) of unspecified site(s) - without mention of complication,Open wound site NOS
879.9,Open wound(s) (multiple) of unspecified site(s) - complicated,Opn wound site NOS-compl
880.00,Open wound of shoulder region - without mention of complication,Open wound of shoulder
880.01,Open wound of scapular region - without mention of complication,Open wound of scapula
880.02,Open wound of axillary region - without mention of complication,Open wound of axilla
880.03,Open wound of upper arm - without mention of complication,Open wound of upper arm
880.09,Open wound of multiple sites of shoulder and upper arm - without mention of complication,Mult open wound shoulder
880.10,Open wound of shoulder region - complicated,Open wnd shoulder-compl
880.11,Open wound of scapular region - complicated,Open wound scapula-compl
880.12,Open wound of axillary region - complicated,Open wound axilla-compl
880.13,Open wound of upper arm - complicated,Open wnd upper arm-compl
880.19,Open wound of multiple sites of shoulder and upper arm - complicated,Mult opn wnd should-comp
880.20,Open wound of shoulder region - with tendon involvement,Opn wnd shouldr w tendon
880.21,Open wound of scapular region - with tendon involvement,Opn wnd scapula w tendon
880.22,Open wound of axillary region - with tendon involvement,Open wnd axilla w tendon
880.23,Open wound of upper arm - with tendon involvement,Open wnd up arm w tendon
880.29,Open wound of multiple sites of shoulder and upper arm - with tendon involvement,Mlt opn wnd shldr w tend
881.00,Open wound of forearm - without mention of complication,Open wound of forearm
881.01,Open wound of elbow - without mention of complication,Open wound of elbow
881.02,Open wound of wrist - without mention of complication,Open wound of wrist
881.10,Open wound of forearm - complicated,Open wound forearm-compl
881.11,Open wound of elbow - complicated,Open wound elbow-complic
881.12,Open wound of wrist - complicated,Open wound wrist-complic
881.20,Open wound of forearm - with tendon involvement,Open wnd forearm w tendn
881.21,Open wound of elbow - with tendon involvement,Opn wound elbow w tendon
881.22,Open wound of wrist - with tendon involvement,Opn wound wrist w tendon
882.0,Open wound of hand except finger(s) alone - without mention of complication,Open wound of hand
882.1,Open wound of hand except finger(s) alone - complicated,Opn wound hand-complicat
882.2,Open wound of hand except finger(s) alone - with tendon involvement,Open wound hand w tendon
883.0,Open wound of finger(s) - without mention of complication,Open wound of finger
883.1,Open wound of finger(s) - complicated,Open wound finger-compl
883.2,Open wound of finger(s) - with tendon involvement,Open wnd finger w tendon
884.0,Multiple and unspecified open wound of upper limb - without mention of complication,Open wound arm mult/NOS
884.1,Multiple and unspecified open wound of upper limb - complicated,Open wound arm NOS-compl
884.2,Multiple and unspecified open wound of upper limb - with tendon involvement,Opn wnd arm NOS w tendon
885.0,Traumatic amputation of thumb (complete)(partial) - without mention of complication,Amputation thumb
885.1,Traumatic amputation of thumb (complete)(partial) - complicated,Amputation thumb-compl
886.0,Traumatic amputation of other finger(s) (complete) (partial) - without mention of complication,Amputation finger
886.1,Traumatic amputation of other finger(s) (complete) (partial) - complicated,Amputation finger-compl
887.0,Traumatic amputation of arm and hand (complete) (partial) - unilateral - below elbow - without mention of complication,Amput below elb - unilat
887.1,Traumatic amputation of arm and hand (complete) (partial) - unilateral - below elbow - complicated,Amp below elb - unil-comp
887.2,Traumatic amputation of arm and hand (complete) (partial) - unilateral - at or above elbow - without mention of complication,Amput abv elbow - unilat
887.3,Traumatic amputation of arm and hand (complete) (partial) - unilateral - at or above elbow - complicated,Amput abv elb - unil-comp
887.4,Traumatic amputation of arm and hand (complete) (partial) - unilateral - level not specified - without mention of complication,Amputat arm - unilat NOS
887.5,Traumatic amputation of arm and hand (complete) (partial) - unilateral - level not specified - complicated,Amput arm - unil NOS-comp
887.6,Traumatic amputation of arm and hand (complete) (partial) - bilateral [any level] - without mention of complication,Amputation arm - bilat
887.7,Traumatic amputation of arm and hand (complete) (partial) - bilateral [any level] - complicated,Amputat arm - bilat-compl
890.0,Open wound of hip and thigh - without mention of complication,Open wound of hip/thigh
890.1,Open wound of hip and thigh - complicated,Open wnd hip/thigh-compl
890.2,Open wound of hip and thigh - with tendon involvement,Opn wnd hip/thigh w tend
891.0,Open wound of knee - leg [except thigh] - and ankle - without mention of complication,Open wnd knee/leg/ankle
891.1,Open wound of knee - leg [except thigh] - and ankle - complicated,Open wnd knee/leg-compl
891.2,Open wound of knee - leg [except thigh] - and ankle - with tendon involvement,Opn wnd knee/leg w tendn
892.0,Open wound of foot except toe(s) alone - without mention of complication,Open wound of foot
892.1,Open wound of foot except toe(s) alone - complicated,Open wound foot-compl
892.2,Open wound of foot except toe(s) alone - with tendon involvement,Open wound foot w tendon
893.0,Open wound of toe(s) - without mention of complication,Open wound of toe
893.1,Open wound of toe(s) - complicated,Open wound toe-compl
893.2,Open wound of toe(s) - with tendon involvement,Open wound toe w tendon
894.0,Multiple and unspecified open wound of lower limb - without mention of complication,Open wound of leg NEC
894.1,Multiple and unspecified open wound of lower limb - complicated,Open wound leg NEC-compl
894.2,Multiple and unspecified open wound of lower limb - with tendon involvement,Opn wnd leg NEC w tendon
895.0,Traumatic amputation of toe(s) (complete) (partial) - without mention of complication,Amputation toe
895.1,Traumatic amputation of toe(s) (complete) (partial) - complicated,Amputation toe-complicat
896.0,Traumatic amputation of foot (complete) (partial) - unilateral - without mention of complication,Amputation foot - unilat
896.1,Traumatic amputation of foot (complete) (partial) - unilateral - complicated,Amput foot - unilat-compl
896.2,Traumatic amputation of foot (complete) (partial) - bilateral - without mention of complication,Amputation foot - bilat
896.3,Traumatic amputation of foot (complete) (partial) - bilateral - complicated,Amputat foot - bilat-comp
897.0,Traumatic amputation of leg(s) (complete) (partial) - unilateral - below knee - without mention of complication,Amput below knee - unilat
897.1,Traumatic amputation of leg(s) (complete) (partial) - unilateral - below knee - complicated,Amputat bk - unilat-compl
897.2,Traumatic amputation of leg(s) (complete) (partial) - unilateral - at or above knee - without mention of complication,Amput above knee - unilat
897.3,Traumatic amputation of leg(s) (complete) (partial) - unilateral - at or above knee - complicated,Amput abv kn - unil-compl
897.4,Traumatic amputation of leg(s) (complete) (partial) - unilateral - level not specified - without mention of complication,Amputat leg - unilat NOS
897.5,Traumatic amputation of leg(s) (complete) (partial) - unilateral - level not specified - complicated,Amput leg - unil NOS-comp
897.6,Traumatic amputation of leg(s) (complete) (partial) - bilateral [any leve]) - without mention of complication,Amputation leg - bilat
897.7,Traumatic amputation of leg(s) (complete) (partial) - bilateral [any level] - complicated,Amputat leg - bilat-compl
900.00,Injury to carotid artery - unspecified,Injur carotid artery NOS
900.01,Injury to common carotid artery,Inj common carotid arter
900.02,Injury to external carotid artery,Inj external carotid art
900.03,Injury to internal carotid artery,Inj internal carotid art
900.1,Injury to internal jugular vein,Inj internl jugular vein
900.81,Injury to external jugular vein,Inj extern jugular vein
900.82,Injury to multiple blood vessels of head and neck,Inj mlt head/neck vessel
900.89,Injury to other specified blood vessels of head and neck,Inj head/neck vessel NEC
900.9,Injury to unspecified blood vessel of head and neck,Inj head/neck vessel NOS
901.0,Injury to thoracic aorta,Injury thoracic aorta
901.1,Injury to innominate and subclavian arteries,Inj innomin/subclav art
901.2,Injury to superior vena cava,Inj superior vena cava
901.3,Injury to innominate and subclavian veins,Inj innomin/subclav vein
901.40,Injury to pulmonary vessel(s) - unspecified,Inj pulmonary vessel NOS
901.41,Injury to pulmonary artery,Injury pulmonary artery
901.42,Injury to pulmonary vein,Injury pulmonary vein
901.81,Injury to intercostal artery or vein,Inj intercostal art/vein
901.82,Injury to internal mammary artery or vein,Inj int mammary art/vein
901.83,Injury to multiple blood vessels of thorax,Inj mult thoracic vessel
901.89,Injury to other specified blood vessels of thorax,Inj thoracic vessel NEC
901.9,Injury to unspecified blood vessel of thorax,Inj thoracic vessel NOS
902.0,Injury to abdominal aorta,Injury abdominal aorta
902.10,Injury to inferior vena cava - unspecified,Inj infer vena cava NOS
902.11,Injury to hepatic veins,Injury hepatic veins
902.19,Injury to inferior vena cava - other,Inj infer vena cava NEC
902.20,Injury to celiac and mesenteric arteries - unspecified,Inj celiac/mesen art NOS
902.21,Injury to gastric artery,Injury gastric artery
902.22,Injury to hepatic artery,Injury hepatic artery
902.23,Injury to splenic artery,Injury splenic artery
902.24,Injury to other specified branches of celiac axis,Injury celiac axis NEC
902.25,Injury to superior mesenteric artery (trunk),Inj super mesenteric art
902.26,Injury to primary branches of superior mesenteric artery,Inj brnch sup mesent art
902.27,Injury to inferior mesenteric artery,Inj infer mesenteric art
902.29,Injury to celiac and mesenteric arteries - other,Inj mesenteric vess NEC
902.31,Injury to superior mesenteric vein and primary subdivisions,Inj superior mesent vein
902.32,Injury to inferior mesenteric vein,Inj inferior mesent vein
902.33,Injury to portal vein,Injury portal vein
902.34,Injury to splenic vein,Injury splenic vein
902.39,Injury to portal and splenic veins - other,Inj port/splen vess NEC
902.40,Injury to renal vessel(s) - unspecified,Injury renal vessel NOS
902.41,Injury to renal artery,Injury renal artery
902.42,Injury to renal vein,Injury renal vein
902.49,Injury to renal blood vessels - other,Injury renal vessel NEC
902.50,Injury to iliac vessel(s) - unspecified,Injury iliac vessel NOS
902.51,Injury to hypogastric artery,Inj hypogastric artery
902.52,Injury to hypogastric vein,Injury hypogastric vein
902.53,Injury to iliac artery,Injury iliac artery
902.54,Injury to iliac vein,Injury iliac vein
902.55,Injury to uterine artery,Injury uterine artery
902.56,Injury to uterine vein,Injury uterine vein
902.59,Injury to iliac blood vessels - other,Injury iliac vessel NEC
902.81,Injury to ovarian artery,Injury ovarian artery
902.82,Injury to ovarian vein,Injury ovarian vein
902.87,Injury to multiple blood vessels of abdomen and pelvis,Inj mult abd/pelv vessel
902.89,Injury to other specified blood vessels of abdomen and pelvis,Inj abdominal vessel NEC
902.9,Injury to unspecified blood vessel of abdomen and pelvis,Inj abdominal vessel NOS
903.00,Injury to axillary vessel(s) - unspecified,Inj axillary vessel NOS
903.01,Injury to axillary artery,Injury axillary artery
903.02,Injury to axillary vein,Injury axillary vein
903.1,Injury to brachial blood vessels,Injury brachial vessels
903.2,Injury to radial blood vessels,Injury radial vessels
903.3,Injury to ulnar blood vessels,Injury ulnar vessels
903.4,Injury to palmar artery,Injury palmar artery
903.5,Injury to digital blood vessels,Injury finger vessels
903.8,Injury to other specified blood vessels of upper extremity,Injury arm vessels NEC
903.9,Injury to unspecified blood vessel of upper extremity,Injury arm vessel NOS
904.0,Injury to common femoral artery,Inj common femoral arter
904.1,Injury to superficial femoral artery,Inj superfic femoral art
904.2,Injury to femoral veins,Injury femoral vein
904.3,Injury to saphenous veins,Injury saphenous vein
904.40,Injury to popliteal vessel(s) - unspecified,Inj popliteal vessel NOS
904.41,Injury to popliteal artery,Injury popliteal artery
904.42,Injury to popliteal vein,Injury popliteal vein
904.50,Injury to tibial vessel(s) - unspecified,Injury tibial vessel NOS
904.51,Injury to anterior tibial artery,Inj anter tibial artery
904.52,Injury to anterior tibial vein,Inj anterior tibial vein
904.53,Injury to posterior tibial artery,Inj post tibial artery
904.54,Injury to posterior tibial vein,Inj post tibial vein
904.6,Injury to deep plantar blood vessels,Inj deep plantar vessel
904.7,Injury to other specified blood vessels of lower extremity,Injury leg vessels NEC
904.8,Injury to unspecified blood vessel of lower extremity,Injury leg vessel NOS
904.9,Injury to blood vessels of unspecified site,Blood vessel injury NOS
905.0,Late effect of fracture of skull and face bones,Late effec skull/face fx
905.1,Late effect of fracture of spine and trunk without mention of spinal cord lesion,Late eff spine/trunk fx
905.2,Late effect of fracture of upper extremities,Late effect arm fx
905.3,Late effect of fracture of neck of femur,Late eff femoral neck fx
905.4,Late effect of fracture of lower extremities,Late effect leg fx
